Canon 5DMKIII Canon 28-135mm at 135mm,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
R,2.91446645956812E-05,3.06441308225548E-05,3.14160878405209E-05,3.17193914037261E-05,0.000033104,3.36007500735895E-05,3.52321324464722E-05,3.86513171033996E-05,4.39966240094183E-05,5.01758167790447E-05,5.79906990266657E-05,6.67065493527025E-05,7.48926636423911E-05,8.24759221552827E-05,8.91565958464907E-05,9.53236251491881E-05,0.00010046,0.0001051568,0.0001087588,0.0001110339,0.0001115206,0.0001111171,0.0001101344,0.0001073763,0.000103521,9.96012878505237E-05,9.50444211653188E-05,0.000090283,8.66063728035988E-05,8.30626989150488E-05,7.95850841459577E-05,7.67126113296906E-05,7.44206756546405E-05,7.1946629007438E-05,7.04253746388691E-05,6.81887618975148E-05,0.000066456,6.49442234059328E-05,6.43453589640783E-05,6.32952842116261E-05,0.0000632,6.329907345366E-05,6.42821670377585E-05,6.49286369903664E-05,6.50829349259894E-05,6.53425864209635E-05,6.67979079781414E-05,6.76313391327051E-05,6.83244420239443E-05,0.000069802,7.16236592780764E-05,7.20558223320501E-05,0.000073035,7.48882933832452E-05,7.79789254942144E-05,8.09603390189579E-05,8.49439186460376E-05,8.85664592921211E-05,9.30481726769857E-05,9.62213976334885E-05,0.0001000583,0.0001029241,0.0001063933,0.0001092079,0.0001142473,0.0001204296,0.0001288936,0.0001383985,0.0001497308,0.0001615961,0.0001755405,0.000190432,0.0002064434,0.0002237545,0.0002422736,0.0002592129,0.0002762998,0.0002942723,0.0003106672,0.0003268263,0.0003447997,0.0003633515,0.0003805956,0.0003987813,0.000416262,0.0004317408,0.0004455192,0.0004587064,0.0004715505,0.0004858676,0.000502589,0.0005216779,0.0005424681,0.0005649742,0.0005879236,0.0006107854,0.0006337766,0.0006587354,0.0006851958,0.0007142627,0.0007462883,0.0007819448,0.000819756,0.0008603487,0.0009020684,0.0009461545,0.0009904957,0.0010360897,0.0010814075,0.0011292247,0.0011766341,0.0012253707,0.0012731922,0.0013230234,0.0013723445,0.001421197,0.0014676696,0.0015143596,0.0015586887,0.0016021811,0.0016432399,0.0016825034,0.0017185164,0.0017519057,0.0017789733,0.0018054385,0.0018291816,0.0018506795,0.0018701511,0.0018952788,0.0019195112,0.0019481303,0.0019828365,0.0020290611,0.002083388,0.0021517252,0.0022283122,0.0023155647,0.0024115134,0.0025143484,0.002617174,0.0027225016,0.0028288904,0.0029363794,0.0030430158,0.0031514818,0.003264094,0.0033813192,0.0034949051,0.0036072477,0.0037193069,0.0038296337,0.0039364217,0.0040466999,0.0041583581,0.0042706806,0.0043859629,0.0045033235,0.004625552,0.0047518595,0.004879844,0.0050056218,0.0051393744,0.0052725729,0.005406812,0.0055533789,0.0057136697,0.0058805973,0.0060673122,0.006284735,0.0065191967,0.0067857658,0.0070895309,0.0074258287,0.0077812436,0.0081711928,0.0085777762,0.008976904,0.0093632057,0.0097336888,0.0100824469,0.010400488,0.0107092961,0.0109938184,0.0112721037,0.0115337849,0.0117730619,0.0119691526,0.0121391014,0.0122702807,0.0123610688,0.0124263128,0.0124767046,0.0125090122,0.012522583,0.0125118323,0.0124667419,0.0123725418,0.0122358638,0.0120673236,0.0118878252,0.0117035752,0.0115333767,0.0113766497,0.0112300385,0.0110835594,0.010925553,0.010757804,0.0105857843,0.0104006687,0.0102015405,0.0100153637,0.0098511517,0.0096956917,0.0095498317,0.0094156697,0.0092798211,0.0091226214,0.0089411577,0.0087442468,0.008528913,0.0082928217,0.0080503503,0.0078164694,0.0075851129,0.007358276,0.0071498021,0.0069661874,0.006803496,0.0066573863,0.0065305425,0.0064185767,0.0063074585,0.0061889216,0.0060631013,0.0059328753,0.0057991532,0.0056678814,0.0055378844,0.0054117207,0.0052902446,0.0051764391,0.005068793,0.0049652632,0.0048670343,0.0047791361,0.0046982462,0.0046167922,0.0045342065,0.0044506815,0.0043585439,0.00425147,0.0041263656,0.0039881885,0.0038385468,0.0036817731,0.003525582,0.003378456,0.0032389098,0.003107451,0.0029861144,0.0028699342,0.0027564213,0.0026488008,0.0025463469,0.0024460417,0.0023489973,0.0022567015,0.0021631772,0.0020661915,0.0019645853,0.0018616471,0.0017554438,0.0016472884,0.0015370903,0.0014289209,0.0013204175,0.0012105188,0.001098417,0.0009872747,0.0008766804,0.0007692125,0.0006675129,0.0005733246,0.0004884222,0.0004145855,0.0003514073,0.0002967329,0.0002505306,0.0002115786,0.0001783554,0.0001495294,0.0001247607,0.0001032755,0.000084589,6.85745951522198E-05,5.48203538941088E-05,4.1499841910012E-05,3.07644771495536E-05,2.25833646593498E-05,1.72618289316909E-05
G,0.000057702,6.02365545315533E-05,6.2827870874933E-05,6.5553532500371E-05,6.84872436386583E-05,7.21972054736145E-05,7.64512214029674E-05,0.000082421,9.0106617248737E-05,9.94195992136716E-05,0.0001103681,0.0001233056,0.0001380661,0.000154403,0.0001723105,0.0001916949,0.000212284,0.0002327686,0.0002526218,0.00027116,0.0002876634,0.0003020334,0.0003147282,0.0003253543,0.0003347193,0.0003435272,0.0003520018,0.0003601472,0.0003698205,0.0003810564,0.000394623,0.0004099281,0.0004278125,0.0004476096,0.0004693457,0.0004919036,0.0005153923,0.0005388798,0.0005626143,0.0005870723,0.0006108943,0.0006342221,0.0006573725,0.0006797134,0.0006999927,0.0007199896,0.0007394089,0.000757439,0.0007754712,0.0007934344,0.0008100832,0.0008257934,0.0008439455,0.0008641923,0.0008884188,0.0009193051,0.0009558297,0.0009966042,0.0010433471,0.0010961852,0.0011512591,0.0012129386,0.0012830722,0.0013634505,0.0014543171,0.0015621656,0.0016875393,0.0018295816,0.0019832973,0.0021482213,0.002325321,0.0025138551,0.0027125633,0.0029230818,0.0031362997,0.0033396322,0.003533605,0.0037314988,0.0039277615,0.0041222505,0.004320845,0.0045289248,0.0047287965,0.0049136588,0.0050787525,0.0052201707,0.0053300112,0.0054182566,0.0055020691,0.0055945711,0.0057004159,0.005822071,0.0059597695,0.0061047775,0.0062396011,0.006352759,0.0064577007,0.0065648336,0.0066700337,0.0067728964,0.0068857699,0.0070155413,0.0071555777,0.0072987052,0.0074412975,0.0075879727,0.0077227096,0.0078382208,0.0079432981,0.0080489952,0.0081485081,0.00824834,0.00835439,0.0084588724,0.0085551776,0.0086424346,0.0087224779,0.0087953363,0.0088688507,0.0089462229,0.0090263994,0.0091056658,0.0091851783,0.0092595344,0.0093143204,0.0093541941,0.0093767495,0.0093775304,0.0093591318,0.0093424447,0.0093141658,0.009279746,0.0092506909,0.0092423452,0.0092398631,0.0092512233,0.0092677479,0.0092959829,0.0093179664,0.0093335773,0.0093302519,0.0093178364,0.0092874456,0.0092491057,0.0091985414,0.0091453667,0.0090961498,0.0090528142,0.0089955884,0.008928042,0.0088572994,0.0087807463,0.0086942036,0.0086119448,0.0085330451,0.0084511562,0.0083669828,0.0082848541,0.0082041288,0.0081202304,0.0080314461,0.0079387525,0.0078441149,0.0077342909,0.0076138806,0.0074955626,0.0073751058,0.0072431267,0.0071155743,0.0069987531,0.0068821973,0.0067751205,0.0066853009,0.0065994989,0.0065115434,0.0064339496,0.0063569967,0.0062638404,0.0061586779,0.0060455678,0.005920209,0.0057835823,0.0056495967,0.0055163561,0.0053876234,0.0052631463,0.0051397526,0.0050084904,0.0048722515,0.0047296938,0.0045775702,0.0044195658,0.0042625911,0.0041054007,0.003948044,0.0037892658,0.0036281398,0.003458135,0.0032840762,0.0031086455,0.0029362397,0.0027676408,0.0026088746,0.0024614293,0.0023215394,0.0021882308,0.0020601806,0.0019382658,0.0018210268,0.0017084305,0.0016006095,0.0015012588,0.0014115946,0.0013294966,0.0012554049,0.0011882456,0.0011268084,0.0010680956,0.0010117974,0.0009575495,0.0009055616,0.0008548926,0.0008065724,0.0007614769,0.0007195062,0.0006804918,0.0006459381,0.0006161705,0.0005906611,0.0005683891,0.0005494806,0.000532449,0.0005160801,0.0005001016,0.000484515,0.000468955,0.0004533928,0.0004384299,0.0004241367,0.000410345,0.0003965955,0.000383636,0.0003716677,0.000360034,0.0003486341,0.0003380472,0.0003280281,0.0003182865,0.0003088621,0.0002994933,0.0002900255,0.0002804423,0.0002703545,0.0002598154,0.000249412,0.000239258,0.0002296812,0.0002215019,0.0002144689,0.0002081724,0.0002027293,0.0001981169,0.0001936393,0.0001896271,0.0001860758,0.0001827832,0.0001794514,0.0001762961,0.0001728653,0.0001691007,0.0001646913,0.0001597859,0.0001543603,0.0001484684,0.0001419643,0.0001354656,0.0001288787,0.0001216288,0.0001134408,0.0001048524,0.00009567,8.59906412380753E-05,7.62207590178903E-05,6.69031870324447E-05,5.81288680084525E-05,5.01865868092689E-05,4.32221402054957E-05,3.71838409846447E-05,3.19256567487777E-05,2.73899153510648E-05,2.3654788516593E-05,2.02853364578541E-05,1.73212953688398E-05,1.46554076860715E-05,1.24526785206054E-05,1.01441715313326E-05,8.00085815498497E-06,5.68839262646254E-06,0.000003479,1.37879692102589E-06,0
B,0.0002570954,0.0002799837,0.0003029046,0.0003284906,0.0003592373,0.0003998298,0.0004554003,0.000531676,0.0006340409,0.0007641431,0.0009212601,0.0011052608,0.0013191065,0.0015626926,0.0018349847,0.0021399775,0.0024745419,0.0028258527,0.003178371,0.0035210594,0.0038390551,0.004126857,0.0043866399,0.004612831,0.0048090632,0.0049849365,0.0051472886,0.0052906119,0.0054354457,0.0055856468,0.0057463318,0.0059091743,0.0060875547,0.0062683003,0.0064591023,0.006643553,0.0068238111,0.0069939217,0.0071702875,0.0073431406,0.0075067226,0.0076676878,0.0078350984,0.0079974741,0.0081473304,0.0083040395,0.0084717246,0.0086413596,0.0088210166,0.0090074551,0.0091851293,0.0093475645,0.009510415,0.0096641796,0.0098246766,0.0100021882,0.0101712085,0.0103181881,0.0104484633,0.0105510624,0.0105920584,0.0106105946,0.0106108926,0.0105989585,0.0105755828,0.0105927377,0.0106500782,0.0107482686,0.0108447031,0.0109293803,0.010993001,0.0110502766,0.0110892394,0.0111362001,0.0111592072,0.0111375502,0.01106731,0.0110021817,0.0109263121,0.0108554665,0.0108099858,0.0108065945,0.0108048892,0.0107854998,0.0107385145,0.0106505696,0.0105054273,0.0103176699,0.0101191575,0.0099345326,0.0097684922,0.0096258429,0.00950293,0.0093914367,0.0092552642,0.009080547,0.0088836334,0.0086852383,0.0084792987,0.008268215,0.0080704844,0.0078925028,0.0077294233,0.0075661045,0.0074034921,0.0072389495,0.0070653886,0.0068690391,0.0066642922,0.0064590742,0.0062512217,0.0060430529,0.0058423005,0.0056421894,0.0054360926,0.0052281817,0.0050176922,0.004808444,0.0046021437,0.004406191,0.0042191149,0.0040414931,0.0038718981,0.0037127596,0.0035575103,0.0034058197,0.0032615877,0.0031220926,0.0029883902,0.0028650326,0.0027520889,0.0026463457,0.0025524814,0.0024718228,0.002400546,0.0023364685,0.0022785467,0.0022269584,0.0021765097,0.0021261527,0.0020747394,0.0020222993,0.0019656403,0.0019083953,0.0018509158,0.0017933408,0.0017363234,0.0016811648,0.0016243518,0.0015658911,0.0015079526,0.0014508077,0.0013940919,0.0013406443,0.0012894989,0.0012406036,0.0011942735,0.0011508538,0.001109085,0.0010703546,0.0010342003,0.0009999849,0.0009681553,0.0009375354,0.0009083768,0.0008817464,0.0008578069,0.0008344869,0.0008138566,0.0007964112,0.0007811239,0.0007684053,0.0007600435,0.0007524647,0.000745394,0.0007404183,0.000736786,0.000729954,0.0007225786,0.0007149154,0.0007062703,0.0006954228,0.0006859364,0.0006761927,0.0006664497,0.0006574751,0.0006495864,0.0006399189,0.0006291403,0.0006181205,0.000605962,0.0005927956,0.0005796237,0.0005663157,0.0005536487,0.00054061,0.0005263411,0.000510634,0.0004949846,0.0004778742,0.0004606705,0.000444449,0.0004300776,0.0004168438,0.0004053238,0.000395759,0.0003874003,0.000379217,0.0003721173,0.0003657728,0.0003590579,0.0003532311,0.0003499897,0.0003475717,0.0003450353,0.0003440864,0.0003433,0.0003423548,0.0003411066,0.0003399856,0.0003374005,0.0003341244,0.0003295413,0.0003241405,0.0003172639,0.0003095925,0.00030273,0.0002976805,0.0002934056,0.0002905298,0.0002893484,0.0002881744,0.000286345,0.000284329,0.0002815218,0.000277548,0.0002734467,0.0002697852,0.0002663057,0.0002631151,0.0002596384,0.0002556378,0.0002515681,0.0002475303,0.000243741,0.0002401432,0.0002366891,0.0002334641,0.0002309609,0.000227916,0.0002246529,0.0002224189,0.0002195355,0.0002153457,0.0002112819,0.0002076852,0.0002032954,0.0001995277,0.0001962307,0.0001927872,0.0001894685,0.0001870336,0.0001839697,0.0001806134,0.000177222,0.0001735367,0.000168725,0.0001636247,0.000158697,0.0001531261,0.0001469279,0.0001401515,0.0001336002,0.0001268073,0.0001200035,0.0001129437,0.0001060176,9.89595849897177E-05,9.10428423741451E-05,8.24992995048304E-05,7.36646978247665E-05,6.52046340217681E-05,5.67290904301675E-05,4.89781880258696E-05,4.17533132500284E-05,3.5513213117117E-05,2.97167224309001E-05,2.52162676343345E-05,2.10132825852863E-05,1.7567940218328E-05,1.4708719456508E-05,1.28616624108925E-05,1.09735160516843E-05,9.66486362099096E-06,8.78517358572816E-06,8.05912929304737E-06,6.966326943365E-06,5.84963758017258E-06,4.28233465075589E-06,2.55334378939492E-06,0
