Canon 5DMKIII Tamron 150-600mm measured at 150mm,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
R,2.34342308509839E-05,2.56006769897028E-05,2.78567381980327E-05,2.98371189429691E-05,3.15877496939953E-05,3.30154512844795E-05,3.4283171300816E-05,3.55134438868111E-05,0.000038165,4.20306027880716E-05,4.65799407246502E-05,5.16082469187346E-05,5.77872193948094E-05,6.41324716438767E-05,6.98496250279051E-05,7.55726372015568E-05,8.12581409158084E-05,8.64840958189928E-05,9.10344224263204E-05,0.000095015,9.65626664624368E-05,0.000096141,9.49394887973379E-05,9.24508702584033E-05,8.9021281282741E-05,8.60704042425385E-05,8.34792690910102E-05,7.96593870799511E-05,7.6044648146385E-05,0.000073,7.01154798128681E-05,6.72571350312765E-05,6.55035260621918E-05,6.45014655378309E-05,0.000063459,6.25124919014471E-05,6.1623091019215E-05,5.99372243051482E-05,5.79101929478374E-05,5.68287336182707E-05,0.000056252,5.62110951338716E-05,5.76941744921064E-05,5.97491693640562E-05,6.07938892003609E-05,6.14245512858599E-05,6.16501879212221E-05,6.02785720355681E-05,5.84358850525879E-05,5.77612332216683E-05,5.77551791390577E-05,5.75480953375021E-05,5.8939069640536E-05,0.000061692,6.48356240451506E-05,6.81405062425214E-05,7.20883539835998E-05,7.51183246837152E-05,7.80542373987552E-05,8.14926023530406E-05,8.49601025798895E-05,8.83079370286851E-05,9.2524788654149E-05,9.65918505582472E-05,0.0001004138,0.0001057753,0.0001129675,0.000120424,0.0001287803,0.0001396685,0.0001523618,0.000165415,0.0001792715,0.0001943181,0.0002082191,0.0002212489,0.0002341751,0.0002483188,0.0002623021,0.000277374,0.0002925177,0.0003083999,0.0003234543,0.0003376698,0.0003509261,0.0003639694,0.0003770632,0.0003899782,0.0004027465,0.0004160329,0.0004311313,0.0004464169,0.0004618639,0.000479938,0.0004999588,0.0005199586,0.0005411774,0.0005653325,0.0005902765,0.000615504,0.0006426565,0.0006730872,0.000706427,0.0007409918,0.0007765043,0.0008143236,0.0008534834,0.000891069,0.0009290635,0.0009698772,0.0010115609,0.0010521108,0.0010948775,0.0011393143,0.0011825559,0.0012230922,0.0012630401,0.0013018507,0.0013384506,0.001372664,0.0014061434,0.001438497,0.0014695732,0.0015000887,0.0015294558,0.0015563848,0.0015806715,0.0016023047,0.0016219693,0.0016441573,0.0016674145,0.001694119,0.0017273208,0.0017722821,0.0018241283,0.001887087,0.001959874,0.0020434689,0.0021293637,0.00222154,0.0023174606,0.0024157171,0.0025097248,0.0026081308,0.0027091352,0.0028105889,0.0029127906,0.0030198985,0.0031233566,0.0032223795,0.0033214683,0.0034214396,0.0035209503,0.0036253735,0.0037334453,0.0038428671,0.0039554978,0.0040738924,0.0041947453,0.0043199536,0.0044493086,0.0045844312,0.0047223302,0.0048619949,0.0050065588,0.0051606417,0.0053206319,0.0054879437,0.0056786285,0.005890371,0.0061272308,0.0063964232,0.0067049735,0.0070305003,0.0073865751,0.0077695013,0.0081663178,0.0085461041,0.0089258106,0.0092848493,0.0096189674,0.0099167452,0.010210567,0.0104864796,0.0107553379,0.011003839,0.0112417935,0.0114475582,0.0116266099,0.0117662541,0.0118701271,0.0119470737,0.0120101292,0.0120535601,0.0120774219,0.0120864282,0.0120627406,0.0119951649,0.0118943593,0.011773002,0.0116373765,0.0115073068,0.0113930377,0.0112893247,0.011192215,0.0110933466,0.0109761311,0.0108421578,0.0106963258,0.0105299106,0.0103469621,0.0101740311,0.0100256113,0.0098898221,0.0097630283,0.0096460403,0.0095329963,0.0093951642,0.0092297147,0.0090475015,0.0088524483,0.0086324832,0.0084025489,0.0081765393,0.0079541144,0.0077354617,0.0075361371,0.007362972,0.0072140985,0.0070830397,0.006970393,0.0068702625,0.0067725094,0.0066645419,0.0065511421,0.0064331661,0.0063115918,0.0061901266,0.0060737108,0.0059623129,0.0058565796,0.0057609945,0.0056718907,0.0055876727,0.0055092586,0.0054374784,0.0053660531,0.0052917774,0.0052168355,0.0051364375,0.0050410901,0.0049250626,0.0047862281,0.0046245853,0.0044471574,0.0042667431,0.0040906612,0.0039256366,0.0037692139,0.0036227222,0.003484086,0.0033519908,0.0032230819,0.0031062445,0.0029973976,0.0028939699,0.0027960883,0.0027069902,0.0026153877,0.0025212512,0.002424719,0.0023263584,0.002220614,0.0021110399,0.0020008376,0.0018920578,0.0017789546,0.0016601943,0.001539053,0.0014157423,0.001287654,0.0011573778,0.0010315159,0.0009099542,0.0007953685,0.0006914666,0.0006006518,0.0005191022,0.0004473017,0.0003848861,0.0003313114,0.0002834228,0.0002418822,0.000206458,0.0001759367,0.0001485365,0.0001252623,0.0001034354,8.46650881107395E-05,6.93328797831417E-05,5.84770552555023E-05
G,3.86875607295215E-05,4.09743838122058E-05,0.000043526,4.63994446222742E-05,4.93063713611032E-05,5.30705348391787E-05,5.78632499585974E-05,6.41298103771549E-05,0.00007212,8.20773135855251E-05,0.000093195,0.0001061209,0.0001211371,0.0001376401,0.000154898,0.0001738174,0.0001941257,0.0002137413,0.0002322303,0.0002498129,0.0002657804,0.0002790909,0.0002911407,0.0003018575,0.0003111421,0.0003193917,0.0003279415,0.0003360753,0.0003446907,0.0003548599,0.0003676031,0.000382267,0.0003994632,0.0004182716,0.0004389499,0.0004607951,0.0004832406,0.0005049273,0.0005279054,0.000551815,0.0005747326,0.0005965023,0.0006197273,0.0006423549,0.0006623625,0.0006812509,0.0007005841,0.0007180273,0.0007338922,0.0007494147,0.0007651402,0.0007811379,0.0007991245,0.00081932,0.0008444402,0.0008759291,0.000911489,0.0009510167,0.0009972919,0.0010487508,0.0011018466,0.0011621056,0.0012314555,0.0013093935,0.001395912,0.0015002466,0.001620553,0.0017552542,0.0018993285,0.0020586935,0.0022291758,0.002411363,0.0026017949,0.0028047355,0.0030080861,0.0032091075,0.0034037112,0.003601181,0.0037966454,0.0039925673,0.0041836765,0.0043782943,0.0045659902,0.0047390042,0.0048904447,0.0050249677,0.0051374841,0.0052324008,0.0053193682,0.0054128199,0.005515474,0.0056255678,0.0057409332,0.0058666902,0.005988283,0.0060949358,0.0061957753,0.0063040093,0.0064111454,0.0065141672,0.0066267862,0.0067541542,0.0068933006,0.0070332173,0.0071741286,0.0073149218,0.0074478792,0.0075580732,0.0076567413,0.0077543694,0.0078490457,0.0079403551,0.0080405862,0.0081422481,0.0082389697,0.0083254471,0.0084069351,0.0084803391,0.0085531718,0.0086224052,0.0086941723,0.0087682441,0.0088451581,0.0089156324,0.0089758511,0.0090252213,0.0090537434,0.0090592141,0.0090480677,0.0090343284,0.0090061292,0.0089785935,0.0089603352,0.0089618323,0.0089665223,0.0089881429,0.0090152667,0.009052931,0.009083868,0.009113903,0.0091272434,0.0091287084,0.0091106484,0.0090868403,0.009051841,0.0090101286,0.0089732935,0.0089413841,0.0088959692,0.0088383986,0.0087858171,0.0087238421,0.0086505476,0.0085796843,0.0085155488,0.0084418261,0.0083676833,0.0083000705,0.008235046,0.0081652753,0.0080917872,0.0080161909,0.007935093,0.0078398777,0.007732502,0.0076291381,0.0075223669,0.0074048117,0.0072915516,0.007192106,0.0070943456,0.0070038212,0.0069309296,0.006862256,0.0067931987,0.0067268342,0.006658501,0.0065735583,0.0064761786,0.0063628684,0.0062380502,0.0061065346,0.0059785932,0.0058504956,0.005729115,0.0056125402,0.0054939147,0.0053650931,0.00523092,0.0050891081,0.004934937,0.0047751945,0.0046168539,0.0044593698,0.0042977243,0.0041357374,0.0039685874,0.0037935984,0.0036083017,0.0034200642,0.0032331037,0.0030552551,0.0028855406,0.0027267332,0.0025799297,0.0024420268,0.0023052607,0.0021728433,0.0020477545,0.0019253279,0.0018071966,0.0016997386,0.001604956,0.0015173534,0.0014378749,0.0013656615,0.0012999881,0.0012352413,0.0011714963,0.0011097147,0.0010515065,0.0009946082,0.0009410247,0.000891806,0.0008469923,0.0008057808,0.0007693273,0.0007373167,0.0007096707,0.0006852064,0.0006638274,0.0006444978,0.0006266719,0.0006090316,0.0005920674,0.0005753672,0.000558829,0.0005427741,0.0005276451,0.0005132374,0.0004992435,0.0004860137,0.0004732282,0.0004606008,0.0004483218,0.0004367264,0.0004254735,0.0004142531,0.0004032139,0.0003918546,0.0003794988,0.0003665417,0.0003531501,0.0003393673,0.0003253142,0.0003122577,0.0003004764,0.0002905734,0.0002819847,0.0002748015,0.0002683833,0.0002627691,0.0002570707,0.0002524065,0.0002484981,0.0002453561,0.000242318,0.0002400415,0.0002373144,0.000233962,0.0002297878,0.000225065,0.000219618,0.0002139786,0.0002081783,0.0002020975,0.0001952751,0.0001873166,0.0001780707,0.0001675262,0.000155223,0.0001415255,0.0001274062,0.0001132158,0.000099328,8.65362470128421E-05,7.5490124073921E-05,6.55435400207529E-05,5.67464287416384E-05,4.9070452364068E-05,4.25481152831888E-05,3.6467576763853E-05,3.10586945703844E-05,0.000026357,0.000022138,1.79753995950372E-05,1.39964532546316E-05,1.01596837507239E-05,6.28893823219442E-06,2.97188034339285E-06,0
B,0.0002491419,0.0002729346,0.0002964683,0.0003242301,0.0003582052,0.0004022742,0.0004582111,0.0005367292,0.0006418667,0.0007758569,0.0009347119,0.0011259367,0.0013501189,0.0016043869,0.0018803282,0.002191151,0.002533377,0.0028843074,0.0032311956,0.0035751524,0.0038979252,0.0041836345,0.0044438075,0.0046750556,0.0048752091,0.0050493475,0.0052090874,0.0053501535,0.0054899115,0.0056312122,0.0057843675,0.0059434333,0.0061183829,0.0062930387,0.006479263,0.0066597463,0.0068349635,0.0069952697,0.0071649792,0.007331434,0.0074887581,0.0076426166,0.0078106253,0.0079757548,0.0081313798,0.0082909772,0.0084638156,0.008632658,0.008804309,0.0089746355,0.0091427445,0.0092999126,0.0094627052,0.0096181333,0.0097853848,0.0099671638,0.010139534,0.0102798073,0.0104015543,0.0104894242,0.0105187195,0.0105226553,0.0105202486,0.010506323,0.0104874298,0.0105064902,0.0105597222,0.0106338157,0.0107111951,0.0107872326,0.0108468579,0.0108979466,0.0109479677,0.01099154,0.0110060364,0.0109895958,0.0109492316,0.0108954161,0.0108317439,0.0107736697,0.0107320989,0.0107119341,0.0106928432,0.0106565833,0.0105967312,0.0105020209,0.0103615708,0.0101851983,0.0100009717,0.0098192976,0.0096506121,0.0094982928,0.0093607029,0.009227766,0.0090824319,0.0089145873,0.0087277568,0.0085334076,0.0083347667,0.0081363199,0.0079417029,0.0077611522,0.0075981239,0.0074389013,0.007272541,0.0071044879,0.0069304156,0.0067393894,0.0065342893,0.0063304892,0.0061268281,0.0059261772,0.0057270795,0.0055288405,0.0053259932,0.0051245154,0.004917677,0.0047090869,0.0045053298,0.0043137735,0.0041250504,0.00394562,0.0037791666,0.0036258596,0.003474141,0.0033302641,0.0031927077,0.0030614179,0.0029329493,0.0028153994,0.0027046253,0.0026051536,0.0025160617,0.0024390892,0.0023688421,0.0023082286,0.0022516612,0.0022013043,0.0021541978,0.0021086838,0.0020588051,0.0020084108,0.0019561684,0.0019015897,0.001844499,0.0017880082,0.0017341296,0.0016794449,0.0016219608,0.0015630937,0.0015082223,0.0014524523,0.0013962648,0.0013434228,0.0012954981,0.0012478888,0.0012021972,0.0011604904,0.0011218653,0.0010857336,0.0010515231,0.0010190431,0.0009890951,0.0009616117,0.0009346732,0.0009102901,0.0008890616,0.0008691228,0.0008505039,0.0008347722,0.0008209426,0.0008091861,0.0008012135,0.0007955435,0.0007917996,0.0007896628,0.0007886014,0.0007863016,0.0007829642,0.0007767748,0.0007681422,0.0007573066,0.0007462271,0.000735056,0.0007267839,0.000720223,0.0007144422,0.0007080126,0.0007012001,0.0006909324,0.0006778743,0.0006637565,0.0006496074,0.0006350105,0.0006210331,0.0006072133,0.000592733,0.0005765612,0.0005591552,0.0005416373,0.0005254308,0.0005092633,0.0004941576,0.0004823606,0.0004734628,0.0004651214,0.0004570684,0.0004504272,0.0004439029,0.0004364234,0.0004284921,0.0004224056,0.0004185772,0.0004159133,0.0004140152,0.0004129849,0.0004128667,0.0004122746,0.0004101947,0.0004065994,0.0004018188,0.0003955857,0.0003884939,0.0003818876,0.0003759594,0.0003708379,0.0003668951,0.0003639558,0.0003615324,0.0003586107,0.0003556112,0.0003530313,0.0003503917,0.0003470563,0.0003447134,0.0003430365,0.000341003,0.0003392612,0.0003382687,0.0003361844,0.0003336604,0.0003312612,0.0003280844,0.000324207,0.0003211899,0.0003187618,0.000316828,0.0003152315,0.0003131064,0.0003102664,0.000306973,0.0003029237,0.0002980973,0.0002929122,0.0002872388,0.0002819917,0.0002771155,0.0002720794,0.0002668164,0.0002629907,0.0002597327,0.000255921,0.0002510739,0.0002467289,0.0002421836,0.0002372094,0.0002316976,0.0002264215,0.0002204962,0.0002138251,0.0002062699,0.0001981706,0.0001901227,0.0001824184,0.0001751085,0.0001679997,0.0001608385,0.0001523304,0.0001426732,0.0001317865,0.0001193663,0.000105874,9.2870908722001E-05,8.07762831772932E-05,6.96487435749561E-05,6.01455890455044E-05,5.20434810159621E-05,4.51454407599237E-05,3.90508120071522E-05,3.36889333985015E-05,2.93783783613507E-05,2.63498764972358E-05,2.37202333873484E-05,2.16623790035355E-05,1.99798928541771E-05,0.000017821,1.4778529075744E-05,0.000012203,8.43216992880696E-06,4.85342720133721E-06,0
